"","year","id","pkg_name","rating","runtime","date","director","actor","stars","name","outline","genre","certificate","representation"
"1","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true","68","ai.fritz.heartbeat","5","50","1974-04-30T10:29:29+05:97","Libraries and Demo","Al Pacino","Marlon Brando","Fritz AI Studio","[""Face detection""]","[""Static"","" Dynamic""]","[""Pop-up messages"","" Instruction"","" Illustration of correct input"","" Vibration"","" Camera adjustment"","" Photo editor""]","[""Text"","" Visual"","" Haptic""]"
"2","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.IL.gif?raw=true","88","ai.fritz.heartbeat","5","50","1974-04-30T10:29:29+05:117","Libraries and Demo","Al Pacino","Marlon Brando","Fritz AI Studio","[""Image classification""]","[""Dynamic"","" Static""]","[""Auto focusing object"","" Pop-up messages"","" Instruction"","" Illustration of correct input"","" Vibration"","" Camera adjustment"","" Text suggestion""]","[""Visual"","" Text"","" Haptic""]"
"3","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true","74","ai.fritz.heartbeat","5","50","1974-04-30T10:29:29+05:103","Libraries and Demo","Al Pacino","Marlon Brando","Fritz AI Studio","[""Object detection and tracking""]","[""Dynamic"","" Static""]","[""Auto focusing object"","" Pop-up messages"","" Instruction"","" Illustration of correct input"","" Vibration"","" Camera adjustment"","" Text suggestion""]","[""Visual"","" Text"","" Haptic""]"
"4","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true","81","ai.fritz.heartbeat","5","50","1974-04-30T10:29:29+05:110","Libraries and Demo","Al Pacino","Marlon Brando","Fritz AI Studio","[""Pose detection""]","[""Dynamic"","" Static""]","[""Auto focusing object"","" Pop-up messages"","" Instruction"","" Illustration of correct input"","" Vibration"","" Camera adjustment""]","[""Visual"","" Text"","" Haptic""]"
"5","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat_sty_no_in.gif?raw=true","87","ai.fritz.heartbeat","5","50","1974-04-30T10:29:29+05:116","Libraries and Demo","Al Pacino","Marlon Brando","Fritz AI Studio","[""Style transfer""]","[""No Interaction""]","[""No interaction with hardware input""]","[""None""]"
"6","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/anyline_qr_code.gif?raw=true","323","io.anyline.examples.store","5","50","1974-04-30T10:29:29+05:338","Tools","Al Pacino","Marlon Brando","Anyline Scanner","[""Barcode scanning""]","[""Static""]","[""Camera frame"","" Flashlight"","" Vibration""]","[""Visual"","" Haptic""]"
"7","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ch.zhaw.facerecognition.gif?raw=true","95","ch.zhaw.facerecognition","5","50","1974-04-30T10:29:29+05:124","Libraries and Demo","Al Pacino","Marlon Brando","Face Recognition","[""Face detection""]","[""Dynamic""]","[""Auto focusing object""]","[""Visual""]"
"8","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/cn.com.hrcrb.mobilebank.per.gif?raw=true","96","cn.com.hrcrb.mobilebank.per","5","50","1974-04-30T10:29:29+05:125","Finance","Al Pacino","Marlon Brando","CHINA RESOURCES BANK ","[""Entity extraction"","" Text recognition""]","[""Static"","" Dynamic""]","[""Instruction"","" Camera frame"","" Object marker"","" Vibration""]","[""Text"","" Visual"","" Haptic""]"
"9","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/cn.jingling.motu.photowonder.gif?raw=true","104","cn.jingling.motu.photowonder","5","50","1974-04-30T10:29:29+05:133","Photography","Al Pacino","Marlon Brando","PhotoWonder: Pro Beauty Photo Editor&Collage Maker","[""Face detection""]","[""Dynamic""]","[""Photo editor""]","[""Visual""]"
"10","https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster.gif?raw=true","17","com.aresmob.transmaster","5","50","1974-04-30T10:29:29+05:46","Tools","Al Pacino","Marlon Brando","Translator Foto?translate, scan & print photo, pdf 6","[""Text recognition""]","[""Dynamic"","" Static""]","[""Camera adjustment"","" Photo editor"","" Camera frame"","" Pop-up messages""]","[""Visual"","" Text""]"
